created_at,model,source_script,source_task,input_tokens,output_tokens,cached_tokens,total_tokens,cost_usd,latency_ms,success,error_text
2026-04-20 23:57:01.490867+00,claude-haiku,normalize_listings.py,canonical_extract,3178,245,0,3423,0.004403,2975,t,""
2026-04-20 23:57:05.028198+00,claude-haiku,normalize_listings.py,canonical_extract,3180,243,0,3423,0.004395,2504,t,""
2026-04-20 23:57:09.126623+00,claude-haiku,normalize_listings.py,canonical_extract,3148,243,0,3391,0.004363,3071,t,""
2026-04-20 23:57:12.673309+00,claude-haiku,normalize_listings.py,canonical_extract,3178,245,0,3423,0.004403,2517,t,""
2026-04-20 23:57:16.304842+00,claude-haiku,normalize_listings.py,canonical_extract,3183,242,0,3425,0.004393,2600,t,""
2026-04-20 23:57:20.157401+00,claude-haiku,normalize_listings.py,canonical_extract,3192,245,0,3437,0.004417,2829,t,""
2026-04-20 23:57:24.882977+00,claude-haiku,normalize_listings.py,canonical_extract,3182,243,0,3425,0.004397,3699,t,""
2026-04-20 23:57:28.454551+00,claude-haiku,normalize_listings.py,canonical_extract,3176,243,0,3419,0.004391,2542,t,""
2026-04-20 23:57:32.050645+00,claude-haiku,normalize_listings.py,canonical_extract,3178,252,0,3430,0.004438,2570,t,""
2026-04-20 23:57:35.772552+00,claude-haiku,normalize_listings.py,canonical_extract,3173,245,0,3418,0.004398,2690,t,""
2026-04-20 23:57:39.370752+00,claude-haiku,normalize_listings.py,canonical_extract,3180,248,0,3428,0.004420,2566,t,""
2026-04-20 23:57:43.016513+00,claude-haiku,normalize_listings.py,canonical_extract,3175,238,0,3413,0.004365,2616,t,""
2026-04-20 23:57:46.728352+00,claude-haiku,normalize_listings.py,canonical_extract,3186,254,0,3440,0.004456,2672,t,""
2026-04-20 23:57:50.333537+00,claude-haiku,normalize_listings.py,canonical_extract,3185,244,0,3429,0.004405,2561,t,""
2026-04-20 23:57:54.581402+00,claude-haiku,normalize_listings.py,canonical_extract,3187,243,0,3430,0.004402,3215,t,""
2026-04-20 23:57:58.156642+00,claude-haiku,normalize_listings.py,canonical_extract,3176,243,0,3419,0.004391,2542,t,""
2026-04-20 23:58:02.029936+00,claude-haiku,normalize_listings.py,canonical_extract,3181,252,0,3433,0.004441,2843,t,""
2026-04-20 23:58:05.609455+00,claude-haiku,normalize_listings.py,canonical_extract,3190,250,0,3440,0.004440,2548,t,""
2026-04-20 23:58:09.702864+00,claude-haiku,normalize_listings.py,canonical_extract,3185,241,0,3426,0.004390,3065,t,""
2026-04-20 23:58:13.304947+00,claude-haiku,normalize_listings.py,canonical_extract,3194,246,0,3440,0.004424,2570,t,""
2026-04-20 23:58:16.895744+00,claude-haiku,normalize_listings.py,canonical_extract,3176,247,0,3423,0.004411,2561,t,""
2026-04-20 23:58:21.69374+00,claude-haiku,normalize_listings.py,canonical_extract,3181,248,0,3429,0.004421,3769,t,""
2026-04-20 23:58:25.419201+00,claude-haiku,normalize_listings.py,canonical_extract,3193,243,0,3436,0.004408,2697,t,""
2026-04-20 23:58:29.16674+00,claude-haiku,normalize_listings.py,canonical_extract,3189,251,0,3440,0.004444,2720,t,""
2026-04-20 23:58:32.669939+00,claude-haiku,normalize_listings.py,canonical_extract,3178,238,0,3416,0.004368,2476,t,""
2026-04-20 23:58:36.3885+00,claude-haiku,normalize_listings.py,canonical_extract,3173,244,0,3417,0.004393,2690,t,""
2026-04-20 23:58:39.994983+00,claude-haiku,normalize_listings.py,canonical_extract,3189,249,0,3438,0.004434,2578,t,""
2026-04-20 23:58:43.850024+00,claude-haiku,normalize_listings.py,canonical_extract,3179,244,0,3423,0.004399,2791,t,""
2026-04-20 23:58:47.463974+00,claude-haiku,normalize_listings.py,canonical_extract,3183,245,0,3428,0.004408,2569,t,""
2026-04-20 23:58:51.26177+00,claude-haiku,normalize_listings.py,canonical_extract,3190,244,0,3434,0.004410,2765,t,""
2026-04-20 23:58:54.847627+00,claude-haiku,normalize_listings.py,canonical_extract,3183,249,0,3432,0.004428,2560,t,""
2026-04-20 23:58:58.331956+00,claude-haiku,normalize_listings.py,canonical_extract,3180,242,0,3422,0.004390,2456,t,""
2026-04-20 23:59:02.250606+00,claude-haiku,normalize_listings.py,canonical_extract,3197,241,0,3438,0.004402,2889,t,""
2026-04-20 23:59:05.823512+00,claude-haiku,normalize_listings.py,canonical_extract,3183,242,0,3425,0.004393,2542,t,""
2026-04-20 23:59:09.318307+00,claude-haiku,normalize_listings.py,canonical_extract,3199,246,0,3445,0.004429,2463,t,""
2026-04-20 23:59:12.902285+00,claude-haiku,normalize_listings.py,canonical_extract,3185,236,0,3421,0.004365,2551,t,""
2026-04-20 23:59:16.474514+00,claude-haiku,normalize_listings.py,canonical_extract,3161,240,0,3401,0.004361,2544,t,""
2026-04-20 23:59:20.384067+00,claude-haiku,normalize_listings.py,canonical_extract,3185,252,0,3437,0.004445,2881,t,""
